time, language, total, test, comment
1684411886 +0200, C, 102, 0, 31
1684415479 +0200, C, 102, 0, 31
1684415957 +0200, C, 102, 0, 31
1684419738 +0200, C, 102, 0, 31
1684420719 +0200, C, 102, 0, 31
1684494052 +0200, C, 102, 0, 31
1684498454 +0200, C, 102, 0, 31
1684519712 +0200, C, 102, 0, 31
1684571472 +0200, C, 102, 0, 31
1684573698 +0200, C, 102, 0, 31
1684575033 +0200, C, 102, 0, 31
1684586699 +0200, C, 102, 0, 31
1684588083 +0200, C, 102, 0, 31
1684588985 +0200, C, 102, 0, 31
1684681929 +0200, C, 102, 0, 31
1684851761 +0200, C, 102, 0, 31
1685028553 +0200, C, 102, 0, 31
1685178134 +0200, C, 102, 0, 31
1685179755 +0200, C, 102, 0, 31
1685183701 +0200, C, 102, 0, 31
1685184529 +0200, C, 102, 0, 31
1685204140 +0200, C, 102, 0, 31
1685204417 +0200, C, 102, 0, 31
1685204875 +0200, C, 102, 0, 31
1685269792 +0200, C, 102, 0, 31
1685338775 +0200, C, 102, 0, 31
1685341444 +0200, C, 102, 0, 31
1685346453 +0200, C, 102, 0, 31
1685365718 +0200, C, 102, 0, 31
1685370344 +0200, C, 102, 0, 31
1685371570 +0200, C, 102, 0, 31
1685385036 +0200, C, 102, 0, 31
1685450868 +0200, C, 102, 0, 31
1685551517 +0200, C, 102, 0, 31
1685789016 +0200, C, 102, 0, 31
1685789712 +0200, C, 102, 0, 31
1685794633 +0200, C, 102, 0, 31
1685877860 +0200, C, 102, 0, 31
1685878126 +0200, C, 102, 0, 31
1685878958 +0200, C, 102, 0, 31
1685944728 +0200, C, 102, 0, 31
1686030578 +0200, C, 102, 0, 31
1686923808 +0200, C, 102, 0, 31
1686924071 +0200, C, 102, 0, 31
1686925690 +0200, C, 102, 0, 31
1687511670 +0200, C, 102, 0, 31
1687511682 +0200, C, 102, 0, 31
1687512224 +0200, C, 102, 0, 31
1687513815 +0200, C, 102, 0, 31
1687514791 +0200, C, 102, 0, 31
1687515321 +0200, C, 102, 0, 31
1687515898 +0200, C, 102, 0, 31
1687516000 +0200, C, 102, 0, 31
1687516056 +0200, C, 102, 0, 31
1687537448 -0700, C, 102, 0, 31
1687755608 -0700, C, 102, 0, 31
1687767054 -0700, C, 102, 0, 31
1687779581 -0700, C, 102, 0, 31
1687849042 +0200, C, 102, 0, 31
1689004576 +0200, C, 102, 0, 31
1689021111 +0200, C, 102, 0, 31
1689021489 +0200, C, 102, 0, 31
1689022457 +0200, C, 102, 0, 31
1689027327 +0200, C, 102, 0, 31
1689065057 +0200, C, 102, 0, 31
1689089258 +0200, C, 102, 0, 31
1689089922 +0200, C, 102, 0, 31
1689112016 +0200, C, 102, 0, 31
1689114053 +0200, C, 102, 0, 31
1689114215 +0200, C, 102, 0, 31
1689161614 +0200, C, 102, 0, 31
1689168486 +0200, C, 102, 0, 31
1689184951 +0200, C, 102, 0, 31
1689269291 +0200, C, 102, 0, 31
1689270595 +0200, C, 102, 0, 31
1689270595 +0200, C, 102, 0, 31
1689270656 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689270699 +0200, C, 102, 0, 31
1689271085 +0200, C, 102, 0, 31
1689281540 +0200, C, 102, 0, 31
1689339061 +0200, C, 102, 0, 31
1689675538 +0200, C, 102, 0, 31
1689675748 +0200, C, 102, 0, 31
1689675814 +0200, C, 102, 0, 31
1689684362 +0200, C, 102, 0, 31
1689688098 +0200, C, 102, 0, 31
1689862959 +0200, C, 102, 0, 31
1689863313 +0200, C, 102, 0, 31
1689868106 +0200, C, 102, 0, 31
1689868480 +0200, C, 102, 0, 31
1690027571 +0200, C, 102, 0, 31
1690027608 +0200, C, 102, 0, 31
1690459395 +0200, C, 102, 0, 31
1690480697 +0200, C, 102, 0, 31
1690481216 +0200, C, 102, 0, 31
1690481948 +0200, C, 102, 0, 31
1690482206 +0200, C, 102, 0, 31
1690533209 +0200, C, 102, 0, 31
1690533243 +0200, C, 102, 0, 31
1690549635 +0200, C, 102, 0, 31
1690615905 +0200, C, 102, 0, 31
1690615994 +0200, C, 102, 0, 31
1691597664 +0200, C, 102, 0, 31
1691598639 +0200, C, 102, 0, 31
1691683799 +0200, C, 102, 0, 31
1691687959 +0200, C, 102, 0, 31
1691827198 +0200, C, 102, 0, 31
1691827403 +0200, C, 102, 0, 31
1691827782 +0200, C, 102, 0, 31
1692375278 +0200, C, 102, 0, 31
1692514430 +0200, C, 102, 0, 31
1692724223 +0200, C, 102, 0, 31
1692810106 +0200, C, 102, 0, 31
1692810436 +0200, C, 102, 0, 31
1692890042 +0200, C, 102, 0, 31
1692890315 +0200, C, 102, 0, 31
1692891049 +0200, C, 102, 0, 31
1692891068 +0200, C, 102, 0, 31
1692891276 +0200, C, 102, 0, 31
1693113599 +0200, C, 102, 0, 31
1693242342 +0200, C, 102, 0, 31
1693412944 +0200, C, 102, 0, 31
1694264243 +0200, C, 102, 0, 31
1694534126 +0200, C, 102, 0, 31
1694538236 +0200, C, 102, 0, 31
1694538256 +0200, C, 102, 0, 31
1694538287 +0200, C, 102, 0, 31
1694620704 +0200, C, 102, 0, 31
1694943920 +0200, C, 102, 0, 31
1694944893 +0200, C, 102, 0, 31
1694945229 +0200, C, 102, 0, 31
1694946198 +0200, C, 102, 0, 31
1694946623 +0200, C, 102, 0, 31
1694947752 +0200, C, 102, 0, 31
1694947974 +0200, C, 102, 0, 31
1694948533 +0200, C, 102, 0, 31
1695563815 +0200, C, 102, 0, 31
1695571953 +0200, C, 102, 0, 31
1695572176 +0200, C, 102, 0, 31
1695572479 +0200, C, 102, 0, 31
1696141806 +0200, C, 102, 0, 31
1696144395 +0200, C, 102, 0, 31
1696144892 +0200, C, 102, 0, 31
1696148957 +0200, C, 102, 0, 31
1696152248 +0200, C, 102, 0, 31
1696161775 +0200, C, 102, 0, 31
1696163551 +0200, C, 102, 0, 31
1696165124 +0200, C, 102, 0, 31
1696165294 +0200, C, 102, 0, 31
1696165473 +0200, C, 102, 0, 31
1696165860 +0200, C, 102, 0, 31
1696241144 +0200, C, 102, 0, 31
1696677332 +0200, C, 102, 0, 31
1696694839 +0200, C, 102, 0, 31
1696705683 +0200, C, 102, 0, 31
1696791944 +0200, C, 102, 0, 31
1696864487 +0200, C, 102, 0, 31
1696865691 +0200, C, 102, 0, 31
1696866207 +0200, C, 102, 0, 31
1696866272 +0200, C, 102, 0, 31
1696866677 +0200, C, 102, 0, 31
1696866726 +0200, C, 102, 0, 31
1696873677 +0200, C, 102, 0, 31
1696873787 +0200, C, 102, 0, 31
1696971727 +0200, C, 102, 0, 31
1697037769 +0200, C, 102, 0, 31
1697116900 +0200, C, 102, 0, 31
1697117037 +0200, C, 102, 0, 31
1697730936 +0200, C, 102, 0, 31
1697733394 +0200, C, 102, 0, 31
1697808512 +0200, C, 102, 0, 31
1698864106 +0100, C, 102, 0, 31
1699032020 +0100, C, 102, 0, 31
1699034618 +0100, C, 102, 0, 31
1699090499 +0100, C, 102, 0, 31
1699102371 +0100, C, 102, 0, 31
1699103647 +0100, C, 102, 0, 31
1699378766 +0100, C, 102, 0, 31
1699453616 +0100, C, 102, 0, 31
1699976483 +0100, C, 102, 0, 31
1699977489 +0100, C, 102, 0, 31
1699977498 +0100, C, 102, 0, 31
1700068961 +0100, C, 102, 0, 31
1700069869 +0100, C, 102, 0, 31
1700070694 +0100, C, 102, 0, 31
1700150821 +0100, C, 102, 0, 31
1700232651 +0100, C, 102, 0, 31
1700240412 +0100, C, 102, 0, 31
1700849693 +0100, C, 102, 0, 31
1702146308 +0100, C, 102, 0, 31
1703337775 +0100, C, 102, 0, 31
1703337876 +0100, C, 102, 0, 31
1703338185 +0100, C, 102, 0, 31
1703338391 +0100, C, 102, 0, 31
1703338612 +0100, C, 102, 0, 31
1703339031 +0100, C, 102, 0, 31
1703340516 +0100, C, 102, 0, 31
1703342084 +0100, C, 102, 0, 31
1703419295 +0100, C, 102, 0, 31
1703419349 +0100, C, 102, 0, 31
1703419357 +0100, C, 102, 0, 31
1703420019 +0100, C, 102, 0, 31
1703420742 +0100, C, 102, 0, 31
1703516497 +0100, C, 102, 0, 31
1703516524 +0100, C, 102, 0, 31
1703516591 +0100, C, 102, 0, 31
1703519017 +0100, C, 102, 0, 31
1703585730 +0100, C, 102, 0, 31
1703593229 +0100, C, 102, 0, 31
1704027889 +0100, C, 102, 0, 31
1704028338 +0100, C, 102, 0, 31
1704028679 +0100, C, 102, 0, 31
1704028922 +0100, C, 102, 0, 31
1704029925 +0100, C, 102, 0, 31
1704032189 +0100, C, 102, 0, 31
1704362107 +0100, C, 102, 0, 31
1704363110 +0100, C, 102, 0, 31
1704365343 +0100, C, 102, 0, 31
1704382600 +0100, C, 102, 0, 31
1704382739 +0100, C, 102, 0, 31
1704383516 +0100, C, 102, 0, 31
1704383552 +0100, C, 102, 0, 31
1704383948 +0100, C, 102, 0, 31
1705072208 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705072565 +0100, C, 102, 0, 31
1705073490 +0100, C, 102, 0, 31
1705074110 +0100, C, 102, 0, 31
1705141031 +0100, C, 102, 0, 31
1705141031 +0100, C, 102, 0, 31
1705141031 +0100, C, 102, 0, 31
1705141031 +0100, C, 102, 0, 31
1705160809 +0100, C, 102, 0, 31
1705160809 +0100, C, 102, 0, 31
1705161215 +0100, C, 102, 0, 31
1705161215 +0100, C, 102, 0, 31
1705161666 +0100, C, 102, 0, 31
1705161744 +0100, C, 102, 0, 31
1705162097 +0100, C, 102, 0, 31
1705336905 +0100, C, 102, 0, 31
1705521024 +0100, C, 102, 0, 31
1705865717 +0100, C, 102, 0, 31
1705866151 +0100, C, 102, 0, 31
1705866213 +0100, C, 102, 0, 31
1705866364 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1706984424 +0100, C, 102, 0, 31
1707242415 +0100, C, 102, 0, 31
1707242702 +0100, C, 102, 0, 31
1707242702 +0100, C, 102, 0, 31
1707242702 +0100, C, 102, 0, 31
1707242702 +0100, C, 102, 0, 31
1707242702 +0100, C, 102, 0, 31
1707244622 +0100, C, 102, 0, 31
1707244892 +0100, C, 102, 0, 31
1707245788 +0100, C, 102, 0, 31
1707245788 +0100, C, 102, 0, 31
1707246187 +0100, C, 102, 0, 31
1707246187 +0100, C, 102, 0, 31
1707246187 +0100, C, 102, 0, 31
1707246426 +0100, C, 102, 0, 31
1708118964 +0100, C, 102, 0, 31
1708118964 +0100, C, 102, 0, 31
1708275715 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709831540 +0100, C, 102, 0, 31
1709832898 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710523225 +0100, C, 102, 0, 31
1710524278 +0100, C, 102, 0, 31
1710524278 +0100, C, 102, 0, 31
1710524278 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710524844 +0100, C, 102, 0, 31
1710525620 +0100, C, 102, 0, 31
1710525651 +0100, C, 102, 0, 31
1710525651 +0100, C, 102, 0, 31
1710525651 +0100, C, 102, 0, 31
1710525651 +0100, C, 102, 0, 31
1710525651 +0100, C, 102, 0, 31
1710525809 +0100, C, 102, 0, 31
1710528540 +0100, C, 102, 0, 31
1710577039 +0100, C, 102, 0, 31
