time, language, total, test, comment
1685178134 +0200, Other, 5350, 0, 0
1685179755 +0200, Other, 5352, 0, 0
1685183701 +0200, Other, 5330, 0, 0
1685184529 +0200, Other, 5330, 0, 0
1685204140 +0200, Other, 5332, 0, 0
1685204417 +0200, Other, 5328, 0, 0
1685204875 +0200, Other, 5330, 0, 0
1685269792 +0200, Other, 5338, 0, 0
1685338775 +0200, Other, 5348, 0, 0
1685341444 +0200, Other, 5348, 0, 0
1685346453 +0200, Other, 5352, 0, 0
1685365718 +0200, Other, 5350, 0, 0
1685370344 +0200, Other, 5346, 0, 0
1685371570 +0200, Other, 5344, 0, 0
1685385036 +0200, Other, 5352, 0, 0
1685450868 +0200, Other, 5348, 0, 0
1685551517 +0200, Other, 5348, 0, 0
1685789016 +0200, Other, 5340, 0, 0
1685789712 +0200, Other, 5340, 0, 0
1685794633 +0200, Other, 5342, 0, 0
1685877860 +0200, Other, 5344, 0, 0
1685878126 +0200, Other, 5620, 0, 0
1685878958 +0200, Other, 5586, 0, 0
1685944728 +0200, Other, 5588, 0, 0
1686030578 +0200, Other, 5588, 0, 0
1686923808 +0200, Other, 5586, 0, 0
1686924071 +0200, Other, 5586, 0, 0
1686925690 +0200, Other, 6184, 0, 0
1687511670 +0200, Other, 6194, 0, 0
1687511682 +0200, Other, 6196, 0, 0
1687512224 +0200, Other, 6544, 0, 0
1687513815 +0200, Other, 6546, 0, 0
1687514791 +0200, Other, 694, 0, 0
1687515321 +0200, Other, 730, 0, 0
1687515898 +0200, Other, 4836, 0, 0
1687516000 +0200, Other, 4842, 0, 0
1687516056 +0200, Other, 4830, 0, 0
1687537448 -0700, Other, 4834, 0, 0
1687755608 -0700, Other, 4836, 0, 0
1687767054 -0700, Other, 1678, 0, 0
1687779581 -0700, Other, 206, 0, 0
1687849042 +0200, Other, 206, 0, 0
1689004576 +0200, Other, 204, 0, 0
1689021111 +0200, Other, 204, 0, 0
1689021489 +0200, Other, 192, 0, 0
1689022457 +0200, Other, 146, 0, 0
1689027327 +0200, Other, 4, 0, 0
1689065057 +0200, Other, 2, 0, 0
1689089258 +0200, Other, 0, 0, 0
1689089922 +0200, Other, 446, 0, 0
1689112016 +0200, Other, 458, 0, 0
1689114053 +0200, Other, 672, 0, 0
1689114215 +0200, Other, 666, 0, 0
1689161614 +0200, Other, 648, 0, 0
1689168486 +0200, Other, 646, 0, 0
1689184951 +0200, Other, 644, 0, 0
1689269291 +0200, Other, 652, 0, 0
1689270595 +0200, Other, 490, 0, 0
1689270595 +0200, Other, 488, 0, 0
1689270656 +0200, Other, 676, 0, 0
1689270699 +0200, Other, 904, 0, 0
1689270699 +0200, Other, 806, 0, 0
1689270699 +0200, Other, 804, 0, 0
1689270699 +0200, Other, 802, 0, 0
1689270699 +0200, Other, 328, 0, 0
1689270699 +0200, Other, 650, 0, 0
1689270699 +0200, Other, 650, 0, 0
1689270699 +0200, Other, 662, 0, 0
1689270699 +0200, Other, 650, 0, 0
1689271085 +0200, Other, 906, 0, 0
1689281540 +0200, Other, 904, 0, 0
1689339061 +0200, Other, 916, 0, 0
1689675538 +0200, Other, 1250, 0, 0
1689675748 +0200, Other, 1256, 0, 0
1689675814 +0200, Other, 1868, 0, 0
1689684362 +0200, Other, 1866, 0, 0
1689688098 +0200, Other, 1856, 0, 0
1689862959 +0200, Other, 1860, 0, 0
1689863313 +0200, Other, 1864, 0, 0
1689868106 +0200, Other, 1844, 0, 0
1689868480 +0200, Other, 1844, 0, 0
1690027571 +0200, Other, 1860, 0, 0
1690027608 +0200, Other, 1834, 0, 0
1690459395 +0200, Other, 1872, 0, 0
1690480697 +0200, Other, 1882, 0, 0
1690481216 +0200, Other, 1710, 0, 0
1690481948 +0200, Other, 1710, 0, 0
1690482206 +0200, Other, 658, 0, 0
1690533209 +0200, Other, 712, 0, 0
1690533243 +0200, Other, 690, 0, 0
1690549635 +0200, Other, 674, 0, 0
1690615905 +0200, Other, 692, 0, 0
1690615994 +0200, Other, 284, 0, 0
1691597664 +0200, Other, 306, 0, 0
1691598639 +0200, Other, 690, 0, 0
1691683799 +0200, Other, 690, 0, 0
1691687959 +0200, Other, 690, 0, 0
1691827198 +0200, Other, 700, 0, 0
1691827403 +0200, Other, 796, 0, 0
1691827782 +0200, Other, 822, 0, 0
1692375278 +0200, Other, 818, 0, 0
1692514430 +0200, Other, 818, 0, 0
1692724223 +0200, Other, 818, 0, 0
1692810106 +0200, Other, 818, 0, 0
1692810436 +0200, Other, 338, 0, 0
1692890042 +0200, Other, 1226, 0, 0
1692890315 +0200, Other, 1224, 0, 0
1692891049 +0200, Other, 1230, 0, 0
1692891068 +0200, Other, 1230, 0, 0
1692891276 +0200, Other, 1614, 0, 0
1693113599 +0200, Other, 1616, 0, 0
1693242342 +0200, Other, 1618, 0, 0
1693412944 +0200, Other, 1634, 0, 0
1694264243 +0200, Other, 1724, 0, 0
1694534126 +0200, Other, 1748, 0, 0
1694538236 +0200, Other, 1748, 0, 0
1694538256 +0200, Other, 1760, 0, 0
1694538287 +0200, Other, 1758, 0, 0
1694620704 +0200, Other, 1758, 0, 0
1694943920 +0200, Other, 858, 0, 0
1694944893 +0200, Other, 194, 0, 0
1694945229 +0200, Other, 192, 0, 0
1694946198 +0200, Other, 0, 0, 0
1694946623 +0200, Other, 906, 0, 0
1694947752 +0200, Other, 964, 0, 0
1694947974 +0200, Other, 984, 0, 0
1694948533 +0200, Other, 986, 0, 0
1695563815 +0200, Other, 1002, 0, 0
1695571953 +0200, Other, 1000, 0, 0
1695572176 +0200, Other, 1000, 0, 0
1695572479 +0200, Other, 1084, 0, 0
1696141806 +0200, Other, 1098, 0, 0
1696144395 +0200, Other, 1102, 0, 0
1696144892 +0200, Other, 1104, 0, 0
1696148957 +0200, Other, 1104, 0, 0
1696152248 +0200, Other, 1110, 0, 0
1696161775 +0200, Other, 1108, 0, 0
1696163551 +0200, Other, 1106, 0, 0
1696165124 +0200, Other, 536, 0, 0
1696165294 +0200, Other, 1722, 0, 0
1696165473 +0200, Other, 1720, 0, 0
1696165860 +0200, Other, 1788, 0, 0
1696241144 +0200, Other, 1812, 0, 0
1696677332 +0200, Other, 1814, 0, 0
1696694839 +0200, Other, 1838, 0, 0
1696705683 +0200, Other, 1838, 0, 0
1696791944 +0200, Other, 1820, 0, 0
1696864487 +0200, Other, 1848, 0, 0
1696865691 +0200, Other, 1848, 0, 0
1696866207 +0200, Other, 1728, 0, 0
1696866272 +0200, Other, 1744, 0, 0
1696866677 +0200, Other, 1744, 0, 0
1696866726 +0200, Other, 1746, 0, 0
1696873677 +0200, Other, 1750, 0, 0
1696873787 +0200, Other, 1752, 0, 0
1696971727 +0200, Other, 1772, 0, 0
1697037769 +0200, Other, 1720, 0, 0
1697116900 +0200, Other, 1760, 0, 0
1697117037 +0200, Other, 1612, 0, 0
1697730936 +0200, Other, 1678, 0, 0
1697733394 +0200, Other, 1674, 0, 0
1697808512 +0200, Other, 1686, 0, 0
1698864106 +0100, Other, 1686, 0, 0
1699032020 +0100, Other, 1684, 0, 0
1699034618 +0100, Other, 1686, 0, 0
1699090499 +0100, Other, 1690, 0, 0
1699102371 +0100, Other, 1596, 0, 0
1699103647 +0100, Other, 1612, 0, 0
1699378766 +0100, Other, 1614, 0, 0
1699453616 +0100, Other, 1622, 0, 0
1699976483 +0100, Other, 1630, 0, 0
1699977489 +0100, Other, 1678, 0, 0
1699977498 +0100, Other, 838, 0, 0
1700068961 +0100, Other, 838, 0, 0
1700069869 +0100, Other, 836, 0, 0
1700070694 +0100, Other, 1622, 0, 0
1700150821 +0100, Other, 1646, 0, 0
1700232651 +0100, Other, 1644, 0, 0
1700240412 +0100, Other, 1642, 0, 0
1700849693 +0100, Other, 1630, 0, 0
1702146308 +0100, Other, 58, 0, 0
1703337775 +0100, Other, 0, 0, 0
1703337876 +0100, Other, 784, 0, 0
1703338185 +0100, Other, 1750, 0, 0
1703338391 +0100, Other, 2636, 0, 0
1703338612 +0100, Other, 2634, 0, 0
1703339031 +0100, Other, 2632, 0, 0
1703340516 +0100, Other, 2632, 0, 0
1703342084 +0100, Other, 2708, 0, 0
1703419295 +0100, Other, 2632, 0, 0
1703419349 +0100, Other, 2696, 0, 0
1703419357 +0100, Other, 2698, 0, 0
1703420019 +0100, Other, 2696, 0, 0
1703420742 +0100, Other, 2708, 0, 0
1703516497 +0100, Other, 2712, 0, 0
1703516524 +0100, Other, 2712, 0, 0
1703516591 +0100, Other, 2710, 0, 0
1703519017 +0100, Other, 2708, 0, 0
1703585730 +0100, Other, 2758, 0, 0
1703593229 +0100, Other, 2760, 0, 0
1704027889 +0100, Other, 2762, 0, 0
1704028338 +0100, Other, 2832, 0, 0
1704028679 +0100, Other, 2844, 0, 0
1704028922 +0100, Other, 2850, 0, 0
1704029925 +0100, Other, 2838, 0, 0
1704032189 +0100, Other, 2870, 0, 0
1704362107 +0100, Other, 2874, 0, 0
1704363110 +0100, Other, 2960, 0, 0
1704365343 +0100, Other, 2960, 0, 0
1704382600 +0100, Other, 2960, 0, 0
1704382739 +0100, Other, 2966, 0, 0
1704383516 +0100, Other, 2966, 0, 0
1704383552 +0100, Other, 2964, 0, 0
1704383948 +0100, Other, 2964, 0, 0
1705072208 +0100, Other, 2976, 0, 0
1705072565 +0100, Other, 2976, 0, 0
1705072565 +0100, Other, 2976, 0, 0
1705072565 +0100, Other, 2976, 0, 0
1705072565 +0100, Other, 2976, 0, 0
1705072565 +0100, Other, 2978, 0, 0
1705072565 +0100, Other, 2980, 0, 0
1705072565 +0100, Other, 2978, 0, 0
1705072565 +0100, Other, 2978, 0, 0
1705072565 +0100, Other, 2978, 0, 0
1705072565 +0100, Other, 2976, 0, 0
1705073490 +0100, Other, 2976, 0, 0
1705074110 +0100, Other, 2974, 0, 0
1705141031 +0100, Other, 3006, 0, 0
1705141031 +0100, Other, 3002, 0, 0
1705141031 +0100, Other, 3018, 0, 0
1705141031 +0100, Other, 2976, 0, 0
1705160809 +0100, Other, 3006, 0, 0
1705160809 +0100, Other, 3006, 0, 0
1705161215 +0100, Other, 3128, 0, 0
1705161215 +0100, Other, 3006, 0, 0
1705161666 +0100, Other, 3128, 0, 0
1705161744 +0100, Other, 3144, 0, 0
1705162097 +0100, Other, 3144, 0, 0
1705336905 +0100, Other, 3146, 0, 0
1705521024 +0100, Other, 3150, 0, 0
1705865717 +0100, Other, 3154, 0, 0
1705866151 +0100, Other, 3162, 0, 0
1705866213 +0100, Other, 3164, 0, 0
1705866364 +0100, Other, 3162, 0, 0
1706984424 +0100, Other, 3116, 0, 0
1706984424 +0100, Other, 3116, 0, 0
1706984424 +0100, Other, 3116, 0, 0
1706984424 +0100, Other, 3116, 0, 0
1706984424 +0100, Other, 3116, 0, 0
1706984424 +0100, Other, 3120, 0, 0
1706984424 +0100, Other, 3166, 0, 0
1707242415 +0100, Other, 3118, 0, 0
1707242702 +0100, Other, 3302, 0, 0
1707242702 +0100, Other, 3300, 0, 0
1707242702 +0100, Other, 3248, 0, 0
1707242702 +0100, Other, 3242, 0, 0
1707242702 +0100, Other, 3116, 0, 0
1707244622 +0100, Other, 3300, 0, 0
1707244892 +0100, Other, 3346, 0, 0
1707245788 +0100, Other, 3348, 0, 0
1707245788 +0100, Other, 3348, 0, 0
1707246187 +0100, Other, 8792, 0, 0
1707246187 +0100, Other, 3368, 0, 0
1707246187 +0100, Other, 3350, 0, 0
1707246426 +0100, Other, 3350, 0, 0
1708118964 +0100, Other, 17684, 0, 0
1708118964 +0100, Other, 17682, 0, 0
1708275715 +0100, Other, 17684, 0, 0
1709831540 +0100, Other, 17710, 0, 0
1709831540 +0100, Other, 17712, 0, 0
1709831540 +0100, Other, 17714, 0, 0
1709831540 +0100, Other, 17716, 0, 0
1709831540 +0100, Other, 17716, 0, 0
1709831540 +0100, Other, 17716, 0, 0
1709831540 +0100, Other, 17716, 0, 0
1709831540 +0100, Other, 17698, 0, 0
1709831540 +0100, Other, 17698, 0, 0
1709831540 +0100, Other, 17698, 0, 0
1709832898 +0100, Other, 17746, 0, 0
1710523225 +0100, Other, 17764, 0, 0
1710523225 +0100, Other, 17764, 0, 0
1710523225 +0100, Other, 17764, 0, 0
1710523225 +0100, Other, 17762, 0, 0
1710523225 +0100, Other, 17762, 0, 0
1710523225 +0100, Other, 17760, 0, 0
1710523225 +0100, Other, 17760, 0, 0
1710523225 +0100, Other, 17754, 0, 0
1710523225 +0100, Other, 17742, 0, 0
1710523225 +0100, Other, 17742, 0, 0
1710523225 +0100, Other, 17742, 0, 0
1710523225 +0100, Other, 17742, 0, 0
1710523225 +0100, Other, 17742, 0, 0
1710523225 +0100, Other, 17744, 0, 0
1710523225 +0100, Other, 17746, 0, 0
1710523225 +0100, Other, 17746, 0, 0
1710523225 +0100, Other, 17744, 0, 0
1710523225 +0100, Other, 17744, 0, 0
1710524278 +0100, Other, 17766, 0, 0
1710524278 +0100, Other, 17768, 0, 0
1710524278 +0100, Other, 17766, 0, 0
1710524844 +0100, Other, 17768, 0, 0
1710524844 +0100, Other, 17766, 0, 0
1710524844 +0100, Other, 17766, 0, 0
1710524844 +0100, Other, 17764, 0, 0
1710524844 +0100, Other, 17746, 0, 0
1710524844 +0100, Other, 17744, 0, 0
1710524844 +0100, Other, 17744, 0, 0
1710524844 +0100, Other, 17744, 0, 0
1710524844 +0100, Other, 17744, 0, 0
1710524844 +0100, Other, 17776, 0, 0
1710524844 +0100, Other, 17776, 0, 0
1710525620 +0100, Other, 17768, 0, 0
1710525651 +0100, Other, 18936, 0, 0
1710525651 +0100, Other, 18856, 0, 0
1710525651 +0100, Other, 17896, 0, 0
1710525651 +0100, Other, 17896, 0, 0
1710525651 +0100, Other, 17766, 0, 0
1710525809 +0100, Other, 18934, 0, 0
1710528540 +0100, Other, 18934, 0, 0
1710577039 +0100, Other, 18952, 0, 0
1711146962 +0100, Other, 1164, 0, 0
1711146962 +0100, Other, 1164, 0, 0
1711146962 +0100, Other, 1164, 0, 0
1711146962 +0100, Other, 862, 0, 0
1711804696 +0100, Other, 1162, 0, 0
1711804706 +0100, Other, 1404, 0, 0
1711804706 +0100, Other, 1404, 0, 0
1711804706 +0100, Other, 1404, 0, 0
1711804706 +0100, Other, 1404, 0, 0
1711804706 +0100, Other, 1402, 0, 0
1711804706 +0100, Other, 1400, 0, 0
1711804706 +0100, Other, 1402, 0, 0
1711804706 +0100, Other, 1404, 0, 0
1711804706 +0100, Other, 1396, 0, 0
1711804706 +0100, Other, 1394, 0, 0
1711804706 +0100, Other, 1394, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1396, 0, 0
1711804706 +0100, Other, 1390, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1394, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1392, 0, 0
1711804706 +0100, Other, 1390, 0, 0
1711804706 +0100, Other, 1390, 0, 0
1711804706 +0100, Other, 1394, 0, 0
1711804706 +0100, Other, 1390, 0, 0
1711804706 +0100, Other, 1388, 0, 0
1711804706 +0100, Other, 1388, 0, 0
1711804706 +0100, Other, 1384, 0, 0
1711804706 +0100, Other, 1380, 0, 0
1711804707 +0100, Other, 1690, 0, 0
1711804707 +0100, Other, 1584, 0, 0
1711804707 +0100, Other, 1404, 0, 0
1711804707 +0100, Other, 1404, 0, 0
1711804707 +0100, Other, 1404, 0, 0
1711804707 +0100, Other, 1404, 0, 0
1711805376 +0100, Other, 1744, 0, 0
1712046421 +0200, Other, 1744, 0, 0
1712175492 +0200, Other, 1746, 0, 0
1712175492 +0200, Other, 1748, 0, 0
1714559065 +0200, Other, 1746, 0, 0
1714562715 +0200, Other, 1786, 0, 0
1714563430 +0200, Other, 1666, 0, 0
1714563430 +0200, Other, 1664, 0, 0
1714563430 +0200, Other, 1658, 0, 0
1714563430 +0200, Other, 1504, 0, 0
1714563430 +0200, Other, 1506, 0, 0
1714563430 +0200, Other, 1334, 0, 0
1714563430 +0200, Other, 1326, 0, 0
1714564313 +0200, Other, 1674, 0, 0
1714565255 +0200, Other, 1664, 0, 0
1714905717 +0200, Other, 1682, 0, 0
1714905782 +0200, Other, 1700, 0, 0
1714907059 +0200, Other, 1702, 0, 0
1715156803 +0200, Other, 1700, 0, 0
1715156928 +0200, Other, 1700, 0, 0
1715185934 +0200, Other, 1702, 0, 0
1718270982 +0200, Other, 1700, 0, 0
1718270982 +0200, Other, 1700, 0, 0
1718270982 +0200, Other, 1658, 0, 0
1718270982 +0200, Other, 1656, 0, 0
1718270982 +0200, Other, 1626, 0, 0
1718270982 +0200, Other, 1626, 0, 0
1718270982 +0200, Other, 1626, 0, 0
1718270982 +0200, Other, 1868, 0, 0
1718270982 +0200, Other, 1868, 0, 0
1718270982 +0200, Other, 1868, 0, 0
1718270982 +0200, Other, 1868, 0, 0
1718270982 +0200, Other, 1810, 0, 0
1718270982 +0200, Other, 1706, 0, 0
1718712457 +0200, Other, 1692, 0, 0
1718712457 +0200, Other, 1686, 0, 0
1718712457 +0200, Other, 1690, 0, 0
1718712457 +0200, Other, 1690, 0, 0
1718712457 +0200, Other, 1692, 0, 0
1718712457 +0200, Other, 1690, 0, 0
1718712457 +0200, Other, 1692, 0, 0
1719144876 +0200, Other, 1690, 0, 0
1719563072 +0200, Other, 0, 0, 0
1719563723 +0200, Other, 15680, 0, 0
1719569037 +0200, Other, 15698, 0, 0
1719569037 +0200, Other, 15686, 0, 0
1719570008 +0200, Other, 16900, 0, 0
1719570008 +0200, Other, 16402, 0, 0
1719570008 +0200, Other, 16314, 0, 0
1719570008 +0200, Other, 16312, 0, 0
1719570008 +0200, Other, 16216, 0, 0
1719570008 +0200, Other, 15912, 0, 0
1719570008 +0200, Other, 15906, 0, 0
1719570008 +0200, Other, 15820, 0, 0
1719609873 +0200, Other, 16900, 0, 0
1719852102 +0200, Other, 16930, 0, 0
1719852102 +0200, Other, 16932, 0, 0
1719852102 +0200, Other, 16930, 0, 0
1719852102 +0200, Other, 16936, 0, 0
1719852102 +0200, Other, 16926, 0, 0
1719906680 +0200, Other, 16952, 0, 0
1719908313 +0200, Other, 16030, 0, 0
1719909396 +0200, Other, 15996, 0, 0
1720098887 +0200, Other, 16258, 0, 0
1720186508 +0200, Other, 16260, 0, 0
1720188772 +0200, Other, 16260, 0, 0
1720188772 +0200, Other, 16262, 0, 0
1720188772 +0200, Other, 16260, 0, 0
1720190021 +0200, Other, 16256, 0, 0
1720190311 +0200, Other, 16214, 0, 0
1722338990 +0200, Other, 16228, 0, 0
1722341107 +0200, Other, 15128, 0, 0
1722341107 +0200, Other, 15126, 0, 0
1722344202 +0200, Other, 15134, 0, 0
1722344202 +0200, Other, 15134, 0, 0
1722345154 +0200, Other, 15132, 0, 0
1722432995 +0200, Other, 16002, 0, 0
1722442380 +0200, Other, 15998, 0, 0
1722442380 +0200, Other, 15998, 0, 0
1722443278 +0200, Other, 15998, 0, 0
1722480861 +0200, Other, 15996, 0, 0
1722482559 +0200, Other, 15996, 0, 0
1722490738 +0200, Other, 16426, 0, 0
1722490738 +0200, Other, 16512, 0, 0
1722490738 +0200, Other, 16512, 0, 0
1722490738 +0200, Other, 16576, 0, 0
1722490738 +0200, Other, 16574, 0, 0
1722490738 +0200, Other, 16324, 0, 0
1722490738 +0200, Other, 15994, 0, 0
1722490738 +0200, Other, 15906, 0, 0
1722490738 +0200, Other, 15994, 0, 0
1722490893 +0200, Other, 16420, 0, 0
1722491794 +0200, Other, 16420, 0, 0
1722493224 +0200, Other, 16418, 0, 0
1722495251 +0200, Other, 16190, 0, 0
1722755950 +0200, Other, 16190, 0, 0
1722756287 +0200, Other, 16208, 0, 0
1722756666 +0200, Other, 16190, 0, 0
1723016262 +0200, Other, 16204, 0, 0
1723016262 +0200, Other, 16204, 0, 0
1723016262 +0200, Other, 16200, 0, 0
1723016262 +0200, Other, 16200, 0, 0
1723016262 +0200, Other, 16200, 0, 0
1723016262 +0200, Other, 16196, 0, 0
1723016262 +0200, Other, 16196, 0, 0
1723016262 +0200, Other, 16192, 0, 0
1723146766 +0200, Other, 16204, 0, 0
1723193300 +0200, Other, 16214, 0, 0
1723194456 +0200, Other, 16212, 0, 0
1723195618 +0200, Other, 16214, 0, 0
1723377413 +0200, Other, 16222, 0, 0
1723444775 +0200, Other, 5698, 0, 0
1723444902 +0200, Other, 5812, 0, 0
1723446811 +0200, Other, 5854, 0, 0
1724326584 +0200, Other, 2400, 0, 0
1724326584 +0200, Other, 2398, 0, 0
1724326584 +0200, Other, 2396, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2158, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724326584 +0200, Other, 2144, 0, 0
1724326584 +0200, Other, 2142, 0, 0
1724401069 +0200, Other, 2388, 0, 0
1724401069 +0200, Other, 2384, 0, 0
1724401069 +0200, Other, 2386, 0, 0
1724401069 +0200, Other, 2402, 0, 0
1724401069 +0200, Other, 2400, 0, 0
1724492582 +0200, Other, 2386, 0, 0
1724492651 +0200, Other, 2430, 0, 0
1724579630 +0200, Other, 392, 0, 0
1724583043 +0200, Other, 2642, 0, 0
1724933030 +0200, Other, 2688, 0, 0
1725209310 +0200, Other, 2686, 0, 0
1725258181 +0200, Other, 2270, 0, 0
1725265760 +0200, Other, 2272, 0, 0
1725266833 +0200, Other, 2528, 0, 0
1725267718 +0200, Other, 1200, 0, 0
1725267758 +0200, Other, 1206, 0, 0
1725295853 +0200, Other, 1388, 0, 0
1725298180 +0200, Other, 1388, 0, 0
1725390465 +0200, Other, 1386, 0, 0
1725390584 +0200, Other, 1408, 0, 0
1725391259 +0200, Other, 2464, 0, 0
1725461697 +0200, Other, 2468, 0, 0
1725464728 +0200, Other, 2472, 0, 0
1725469644 +0200, Other, 2472, 0, 0
1725553151 +0200, Other, 2470, 0, 0
1725561852 +0200, Other, 2544, 0, 0
1725563894 +0200, Other, 2496, 0, 0
1725635831 +0200, Other, 2392, 0, 0
1725807452 +0200, Other, 2392, 0, 0
1725909573 +0200, Other, 2390, 0, 0
1726085084 +0200, Other, 2404, 0, 0
1726163401 +0200, Other, 2410, 0, 0
1726813087 +0200, Other, 2410, 0, 0
1726814064 +0200, Other, 2464, 0, 0
1726823723 +0200, Other, 2492, 0, 0
1726828750 +0200, Other, 2372, 0, 0
1727027953 +0200, Other, 2372, 0, 0
1727098766 +0200, Other, 2370, 0, 0
1727195927 +0200, Other, 2378, 0, 0
1727282558 +0200, Other, 2104, 0, 0
1728298138 +0200, Other, 2102, 0, 0
1728299475 +0200, Other, 2640, 0, 0
1728300123 +0200, Other, 1832, 0, 0
1728403478 +0200, Other, 1890, 0, 0
1728404874 +0200, Other, 2180, 0, 0
1728465035 +0200, Other, 2182, 0, 0
1730664656 +0100, Other, 2232, 0, 0
1730664677 +0100, Other, 2236, 0, 0
1730710526 +0100, Other, 2234, 0, 0
1730800991 +0100, Other, 2234, 0, 0
1730970026 +0100, Other, 2680, 0, 0
1731013278 +0100, Other, 2728, 0, 0
1731013298 +0100, Other, 0, 0, 0
1731061610 +0100, Other, 0, 0, 0
1731062824 +0100, Other, 2030, 0, 0
1731063212 +0100, Other, 1950, 0, 0
1731083570 +0100, Other, 1988, 0, 0
1731246950 +0100, Other, 2256, 0, 0
1731354174 +0100, Other, 2254, 0, 0
1731356215 +0100, Other, 2596, 0, 0
1731403965 +0100, Other, 2530, 0, 0
1731875267 +0100, Other, 2532, 0, 0
1731916655 +0100, Other, 2530, 0, 0
1731917168 +0100, Other, 2534, 0, 0
1731918818 +0100, Other, 2578, 0, 0
1732268322 +0100, Other, 2578, 0, 0
1732607406 +0100, Other, 2580, 0, 0
1732607767 +0100, Other, 2580, 0, 0
